
"Mount Rainier National Park, Washington, USA",46.879967,-121.726906
"Kenai Fjords National Park, Alaska, USA",60.043777,-149.816360
"Anahuac National Wildlife Refuge, Anahuac, TX, USA",29.610300,-94.449081
"Bandelier National Monument, Los Alamos, NM, USA",35.767288,-106.311607
"Summit Bechtel Reserve, Glen Jean, WV, USA",37.916035,-81.123047
"Yellowstone National Park, WY, USA",44.427895,-110.588379
"Rothrock State Forest, State College, PA, USA",40.720585,-77.826965
"Great Smoky Mountains National Park, Tennessee, USA",35.611763,-83.489548
"Zion National Park, Utah, USA",37.317207,-113.022537
"Yosemite National Park, California, USA",37.865101,-119.538330
"Yellowstone National Park, Wyoming, USA",44.429764,-110.584663
"Haleakalā National Park, Hawaii, USA",20.701283,-156.173325
"Malibu Creek State Park, Calabasas, CA, USA",34.105156,-118.731316
"Manti-La Sal National Forest, Price, UT, USA",39.187050,-111.379890
"Cherry Creek State Park, Aurora, CO, USA",39.639973,-104.831863
"Kissimmee Prairie Preserve State Park, Okeechobee, FL, USA",27.612417,-81.053383
"Garden of Gods, Colorado Springs, CO, USA",38.873840,-104.886665
"Petrified Forest National Park, Arizona, USA",34.909988,-109.806793
"Fort Berthold Indian Reservation, ND, USA",47.683880,-102.354126
"Chattahoochee National Forest, Suches, GA, USA",34.765972,-84.143517
"Little Sandy National Wildlife Refuge, Lindale, TX, USA",32.590797,-95.273666
"Siuslaw National Forest, Tidewater, OR, USA",44.358715,-123.829994
"Kings Canyon National Park, California, USA",36.887856,-118.555145
"Ruffner Mountain Nature Center, Birmingham, AL, USA",33.558990,-86.707016
"Yellowstone National Park, WY, USA",44.427284,-110.584389
"Kings Mountain State Park, Blacksburg, SC, USA",35.130459,-81.345444
"Honolulu Watershed Forest Preserve, Honolulu, HI, USA",21.363251,-157.781265
"Oleta River State Park, North Miami, FL, USA",25.921614,-80.144402
"Grant Park, Chicago, IL, USA",41.876465,-87.621887
"Wisconsin Interstate State Park, USA",45.398449,-92.645126
"Bridge Creek Wildlife Area, Ukiah, OR, USA",45.043449,-118.949318
"Willamette National Forest, Blue River, OR, USA",44.060471,-122.091736
"Golden Gate Canyon State Park, CA, USA",39.814339,-105.395622
"William F Hayden Green Mountain Park, Lakewood, CO, USA",39.702827,-105.175636
"Cades Cove, Great Smoky Mountains National Park, Tennessee, USA",35.593670,-83.824997
"Lantz Farm and Nature Preserve, WV, USA",39.516754,-80.649948
"Myakka State Forest, Englewood, FL, USA",26.988386,-82.286552
"Lake Eola Park, Orlando, FL, USA",28.545021,-81.372856
"Gulf State Park, Gulf Shores, AL, USA",30.262793,-87.636337
"Egypt Valley Wildlife Area, OH, USA",40.115486,-81.114090
"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia, USA",33.976376,-84.579163
"Shenandoah National Park, Shenandoah, VA, USA",38.700516,-78.292694
"Ricketts Glen State Park, PA, USA",41.339184,-76.290436
"El Dorado State Park, Kansas, USA",37.866047,-96.756935
"Polihale State Park, Waimea, HI, USA",22.079357,-159.761642
"Lake Wateree State Recreation Area, NC, USA",34.375179,-80.863495
"Kekaha Kai State Park, Kona, HI, USA",19.788027,-156.023453
"National Bison Range, Montana, USA",47.342545,-114.209747
"Castlewood Canyon State Park, Colorado, USA",39.319424,-104.730606
"Hillman State Park, Burgettstown, PA, USA",40.453739,-80.400864
"Little Big Econ State Forest, FL, the US",28.673721,-81.104507
"Eagle Bluffs Conservation Area, Columbia, USA",38.848934,-92.431839
"Everglades National Park, Florida, USA",25.286615,-80.898651
"Mount Mitchell State Park, NC, the US",35.768803,-82.306137
"Mt. Hood National Forest, Oregon, the US",45.454350,-121.933136
"Island Park, Idaho, the US",44.429733,-111.440849
"Redwood National Park, CA, USA",41.213181,-124.004631
"Yellowstone National Park, USA",44.423691,-110.588516
